tutor_rating,rating_count,experience_level,sessions,avg_improvement,subject,success_prob
2.829525933743648,60,3,15,2.970068072859304,2,0.5834336565657137
3.2939669881527918,17,5,8,2.3644553311380454,2,0.2756729592818119
4.163182090592277,72,2,15,0.768375552537687,0,0.4393759405761782
3.866743531785175,10,5,2,2.3983209881388063,2,0.12124971957527182
3.895427959726102,72,1,11,-1.3047092426200768,1,0.1137238634389751
4.4517482604290715,5,5,12,1.3390509917848124,3,0.4430346304781628
3.256048778196341,22,1,18,2.225025083593051,0,0.6380301612423007
2.7282166919653337,70,3,7,1.3986271818073734,2,0.12762934010348848
2.7039968000120957,36,4,7,1.9945122810421463,0,0.16924380616427595
4.215227884858717,24,2,7,1.235591023391291,3,0.16230249369578265
3.2891712029101647,83,5,3,0.6022618991945832,2,0.06462513940205701
3.5483367010482207,84,5,12,1.0289457530327222,0,0.34889027805138584
3.9165131472636574,61,5,4,1.989304421921342,0,0.15067403124617249
2.6642371473859146,15,3,13,-0.20559869630707883,2,0.2005326953266589
3.884635711003302,51,4,1,2.359184388212042,3,0.09187646389122249
3.7454892911328477,64,1,17,0.4068963999246382,2,0.446803430695387
4.971052484908703,92,4,9,-0.536741753987672,0,0.1789641958711735
3.304156178486868,65,5,6,-0.45522156611261444,3,0.07650270485710058
3.59400781013848,10,4,6,2.433447258438966,3,0.20612900647344046
2.630697758171899,11,2,5,0.49307138138225404,1,0.05659568922720147
4.849580309033688,58,1,11,-1.1549335324730086,0,0.15354032587329755
4.913621586501553,48,4,2,1.6803655660931485,0,0.11367226994247552
3.2351686554419445,80,2,16,2.231517811513319,3,0.5654123705809642
3.290730871814061,62,3,15,-0.8962745129484856,3,0.25515773593964525
4.057844634369563,86,3,14,0.4146218985451662,0,0.3736013077335692
4.880660036333431,85,5,2,-1.0493271298540008,0,0.04497920509528674
3.2765024284883237,67,2,17,-0.7717712848277272,3,0.32612634166660875
4.77245222978716,13,5,16,2.9959949158929042,2,0.7908627387722058
4.7437720877708855,67,4,4,2.00142477770353,2,0.17132034896734116
3.0044873706311424,4,1,11,-0.17192485587440665,1,0.13384009983202508
3.0589895962986313,24,1,15,1.9498092249581078,0,0.44957712415495216
3.7088641167998118,91,1,1,0.08156229440424201,1,0.027794856564421985
3.8106368013443417,60,5,1,-0.21973268618912156,3,0.03751772963525301
3.44773512167984,84,2,14,0.9459163309899972,0,0.3572516299158977
3.979786011047675,54,2,9,1.6458538325879957,0,0.24090529363365876
3.025294439850536,18,3,13,0.7343583355432584,3,0.28932423203824864
3.6855355416436595,90,3,1,2.107029979088808,3,0.07232394389209411
4.001980373349047,14,5,1,0.9376362281462489,3,0.061551636333313696
4.140365229618606,25,5,17,2.0297179106483507,1,0.7219182425761528
4.430380069039595,32,1,7,0.7493045780349217,0,0.13340707835864585
4.309932638665234,23,2,19,-0.5551457608787801,1,0.5177229437781007
4.395961928974795,72,2,8,0.2504396436213052,2,0.14417531002989306
2.9631758884583093,96,2,15,2.7816936224780564,0,0.5502374698054031
3.493218226400918,54,4,16,2.995363839894498,1,0.6997507009859156
2.9118272402026544,58,5,3,1.08138659268021,2,0.06953222102258921
2.8072779563556125,56,5,6,-1.4861337077881127,3,0.04511956807167458
2.5778727319834775,46,1,5,1.694993072565814,1,0.0795379906031538
3.3051979139579455,45,5,13,-0.25924987075679495,1,0.2665611459688727
4.778347975196577,90,4,16,2.117973860147286,2,0.7069660011687233
3.9440793858610563,90,5,3,2.465594941639983,1,0.1505187500421
3.2398300735915404,37,4,13,1.2411648218291371,2,0.37014727640892636
2.7296258430730025,59,3,6,-1.022935398348893,1,0.04350971413006821
4.240051545134481,14,1,3,-0.7604646651120999,1,0.0344838942092074
4.398231267296184,4,3,15,1.554662860698961,3,0.56004249558949
3.028079578682328,38,5,17,1.7112553166396198,3,0.620795480585444
3.290390262441876,14,2,14,-1.371391392972644,2,0.1734401882585071
3.9147215127543973,73,3,3,0.5155462309700436,2,0.06184029310164736
4.328715899257789,30,5,15,-1.1164058831442079,3,0.343452193627621
3.871002341854779,36,5,18,2.652466162515659,1,0.7895619799212338
4.01679050492501,71,3,7,-0.5102545320015638,3,0.09120045499009542
4.405436467954112,55,4,15,-1.3874049249586902,0,0.3029412025093239
2.7451113452773495,37,2,17,0.5804403859733762,2,0.4147676553195802
2.758487341575104,97,5,5,1.9002867159558923,3,0.1287182931741842
3.365249316344464,77,3,4,1.4095323915927156,0,0.0889427974466234
3.5377679421373314,13,5,4,1.1338665987656693,1,0.10109442833042363
3.830283713163289,41,4,19,-0.4869727753727442,0,0.5384976542764768
4.823070134079635,45,4,4,-0.15421605802493854,0,0.08205366973738211
4.688408099751902,30,3,17,-1.2594971872474492,2,0.4019668787724989
4.085355345739342,31,1,2,2.542162799342231,1,0.09470206648054695
2.986984506609817,63,3,1,2.048747824898956,0,0.05817271281255786
4.331136572834325,39,2,8,2.230527259377207,1,0.2672836651187421
4.62010522400371,55,4,3,-1.197383434351715,3,0.043400169536861474
4.014992418177563,65,2,8,-0.6133383161116384,3,0.09614273014038299
4.351273803045796,78,3,16,0.8702802500510116,2,0.5382983956885977
3.7928022202833263,91,4,12,-0.44143112636499593,0,0.22465681414600824
4.744911617119471,18,4,14,1.9807225224283211,3,0.6024688085970435
2.51442665323242,73,5,13,1.2373548087769466,2,0.34282503421429567
3.124897453098739,77,3,10,1.5342091032644247,1,0.24069972378332002
2.7332184618049213,65,5,18,0.6427104650816182,3,0.5441471693579398
3.23956024374134,14,1,15,2.6156197528319485,2,0.5294947105334157
4.079533817541671,19,4,14,2.176648622491512,2,0.5731022426328143
3.130557835576547,34,3,11,1.4257992929810825,0,0.2708107758558996
4.744838233609342,47,2,18,2.4598021886920227,0,0.76983368568219
3.8676133640389443,63,1,1,1.7334009313160177,1,0.05487000595537321
4.9474527879370225,29,3,9,0.7343667960455664,0,0.24563725996128086
4.323770571630992,99,3,10,2.381721944458305,0,0.3893179582299812
3.5333561496779806,91,5,17,0.012005614350453886,2,0.49120318047400624
4.716488603755996,64,4,19,1.4588639752598773,1,0.7682564405451457
3.1171425689893324,86,2,2,2.8287150662656257,3,0.0883966255373001
4.026366887538561,46,5,19,2.3029571054146145,1,0.8067599410462197
2.692007620786054,94,2,12,1.9541256039427313,2,0.30773123678249203
3.734535101142322,57,1,4,0.7585084773981237,3,0.0643902592140287
3.288041843443215,69,2,3,0.9532526168071027,3,0.05560421153787559
3.0146030250919207,4,2,9,1.59791043628026,0,0.18901013518380247
4.95257372278769,4,5,8,0.46565452230510807,1,0.22653760855341343
2.73684728694836,52,2,8,0.8447171825233077,2,0.11495894787249206
3.9665597957091565,93,1,10,0.47025063055200533,2,0.17917722683176812
3.218506334613706,10,1,15,1.1655141604503303,1,0.38503231984088027
4.282535729654352,28,5,3,-0.006565006136579621,2,0.06799745397366772
3.7970951428151802,3,5,1,1.7787514875272858,2,0.07948456899356669
4.192801599337523,50,3,15,2.890290520721389,2,0.6712748530339553
3.6447507378176787,31,2,4,-1.2028833261624854,1,0.03268120070807999
4.35451618811543,84,4,13,-1.3653174072064866,2,0.2244756563933151
